Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
2.3, ,4,0.2,0.4,0.7, ,0.03333333333333333,0.5,0.9666666666666667, ,0.23333333333333334,0.6363636363636364,0.8666666666666667, ,0.16666666666666666,0.4166666666666667,0.7666666666666667, ,0.23333333333333334,0.5833333333333334,0.8333333333333334
2.3, ,5,0.23333333333333334,0.4117647058823529,0.6666666666666666, ,0.06666666666666667,1.0,1.0, ,0.3,1.0,1.0, ,0.1,0.6,0.9333333333333333, ,0.3333333333333333,0.8333333333333334,0.9333333333333333
Average:            , , ,0.3542087542087542,0.483781512605042,0.6457912457912458, ,0.08053872053872053,0.7266666666666667,0.9725925925925927, ,0.2183838383838384,0.7153679653679654,0.9324579124579124, ,0.17286195286195283,0.5214285714285715,0.8377777777777778, ,0.2672727272727273,0.6371794871794872,0.8383838383838385
Standard Deviation: , , ,0.13149034058368714,0.07601978937353258,0.035912527992527116, ,0.046635804410481985,0.26865922239479845,0.025185185185185185, ,0.09829357234660192,0.25993859671387887,0.04769350464275083, ,0.10676758651368523,0.11927597146791348,0.10508080371143902, ,0.07628663746695546,0.14605052945790023,0.10601923194924517
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.4, ,1,0.3448275862068966,0.37037037037037035,0.45161290322580644, ,0.10344827586206896,0.75,0.967741935483871, ,0.2413793103448276,0.7,0.9032258064516129, ,0.3793103448275862,0.36666666666666664,0.3870967741935484, ,0.27586206896551724,0.5714285714285714,0.8064516129032258
2.4, ,2,0.36,0.5294117647058824,0.7714285714285715, ,1.0,0.4166666666666667,0.0, ,0.16,0.8,0.9714285714285714, ,0.2,0.2631578947368421,0.6, ,0.2,0.7142857142857143,0.9428571428571428
2.4, ,3,0.45454545454545453,0.5357142857142857,0.5185185185185185, ,0.030303030303030304,0.3333333333333333,0.9259259259259259, ,0.21212121212121213,0.7777777777777778,0.9259259259259259, ,0.06060606060606061,0.3333333333333333,0.8518518518518519, ,0.18181818181818182,0.6,0.8518518518518519
2.4, ,4,0.3333333333333333,0.6,0.6666666666666666, ,0.1111111111111111,1.0,1.0, ,0.1388888888888889,1.0,1.0, ,0.1388888888888889,0.8333333333333334,0.9583333333333334, ,0.19444444444444445,0.875,0.9583333333333334
2.4, ,5,0.3333333333333333,0.42857142857142855,0.6363636363636364, ,0.0,0.0,1.0, ,0.18518518518518517,0.45454545454545453,0.8181818181818182, ,0.037037037037037035,0.5,0.9696969696969697, ,0.1111111111111111,0.3333333333333333,0.8181818181818182
Average:            , , ,0.36520794148380353,0.4928135698723934,0.6089180592406398, ,0.2489724834552421,0.5,0.7787335722819594, ,0.18751491930802272,0.7464646464646465,0.9237524243975856, ,0.16316846627191453,0.45929824561403504,0.7533957858151407, ,0.19264716126785092,0.6188095238095238,0.8755351518254744
Standard Deviation: , , ,0.04572888379404067,0.08220489025787024,0.11261866364547675, ,0.37789654956016017,0.3456073558887953,0.39031612598014537, ,0.03642480349351767,0.17635333835508984,0.06270235534798406, ,0.12254921943206024,0.20222645002159062,0.22635566283690695, ,0.05243550247390165,0.1782384196528987,0.06326235573416371
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
