Protein,Sensitivity,Specificity
HpCD00780908,0.5,1.0

HpCD00780916,0.5033333333333333,0.9966666666666667

HpCD00780805,0.5066666666666667,1.0

HpCD00780813,0.5033333333333333,0.9966666666666667

HpCD00780821,0.5233333333333333,1.0

HpCD00780901,0.5,1.0

HpCD00780909,0.5066666666666667,1.0

HpCD00780917,0.5,1.0

HpCD00780806,0.5033333333333333,1.0

HpCD00780814,0.5066666666666667,0.9966666666666667

HpCD00780822,0.5033333333333333,1.0

HpCD00780902,0.5,1.0

HpCD00780910,0.5,1.0

HpCD00780918,0.5,1.0

HpCD00780823,0.5,1.0

HpCD00780831,0.5,1.0

HpCD00780839,0.5,1.0

HpCD00780919,0.5,1.0

HpCD00780927,0.5033333333333333,0.99

HpCD00780935,0.5,1.0

HpCD00780824,0.5,1.0

HpCD00780832,0.5033333333333333,1.0

HpCD00780840,0.5,1.0

HpCD00780920,0.5,1.0

HpCD00780928,0.5,1.0

HpCD00780936,0.5,0.99

HpCD00780825,0.5,1.0

HpCD00780833,0.5,1.0

HpCD00780841,0.5,1.0

HpCD00780921,0.5,1.0

HpCD00780929,0.5,1.0

HpCD00780937,0.5,1.0

HpCD00780826,0.5,1.0

HpCD00780834,0.5,0.9966666666666667

HpCD00780842,0.5033333333333333,1.0

HpCD00780922,0.5,1.0

HpCD00780930,0.5,1.0

HpCD00780938,0.5,1.0

HpCD00780827,0.5,1.0

HpCD00780835,0.5,1.0

HpCD00780843,0.5,1.0

HpCD00780923,0.5133333333333333,0.97

HpCD00780931,0.5,1.0

HpCD00780939,0.5,0.9966666666666667

HpCD00780828,0.5,1.0

HpCD00780836,0.5,0.9966666666666667

HpCD00780844,0.5,0.9966666666666667

HpCD00780924,0.5,1.0

HpCD00780932,0.5,1.0

HpCD00780940,0.5,1.0

HpCD00780829,0.5,1.0

HpCD00780837,0.5,1.0

HpCD00780845,0.5,1.0

HpCD00780925,0.5033333333333333,1.0

HpCD00780933,0.5066666666666667,1.0

HpCD00780941,0.5033333333333333,1.0

HpCD00780830,0.5,0.9966666666666667

HpCD00780838,0.5,1.0

HpCD00780846,0.5033333333333333,1.0

HpCD00780926,0.5,0.9966666666666667

HpCD00780934,0.5,1.0

HpCD00780942,0.5,1.0

HpCD00780847,0.5,1.0

HpCD00780855,0.5,1.0

HpCD00780863,0.5,1.0

HpCD00780943,0.5,1.0

HpCD00780951,0.5,1.0

HpCD00780959,0.5033333333333333,0.9933333333333333

HpCD00780848,0.5,0.9966666666666667

HpCD00780856,0.5,1.0

HpCD00780864,0.5,1.0

HpCD00780944,0.5,1.0

HpCD00780952,0.5,1.0

HpCD00780960,0.5033333333333333,1.0

HpCD00780849,0.5,0.9866666666666667

HpCD00780857,0.5,1.0

HpCD00780865,0.5,1.0

HpCD00780945,0.5,1.0

HpCD00780953,0.5,0.9966666666666667

HpCD00780961,0.5,1.0

HpCD00780850,0.5033333333333333,0.9966666666666667

HpCD00780858,0.5,0.9833333333333333

HpCD00780866,0.5066666666666667,0.9966666666666667

HpCD00780946,0.5,0.9933333333333333

HpCD00780954,0.5033333333333333,1.0

HpCD00780962,0.5,1.0

HpCD00780851,0.5,1.0

HpCD00780859,0.5,1.0

HpCD00780867,0.5,1.0

HpCD00780947,0.5033333333333333,1.0

HpCD00780955,0.5033333333333333,0.9966666666666667

HpCD00780963,0.5,1.0

HpCD00780852,0.5,1.0

HpCD00780860,0.5,1.0

HpCD00780868,0.5,1.0

HpCD00780948,0.5,1.0

